,10y,3m_ib,3m_bb,24h_immed,date
0,12.07,12.19,11.68,12.58,1990-12-01
1,11.52,11.93,10.8233333333333,12.0,1991-01-01
2,11.53,11.62,10.0166666666667,12.0,1991-02-01
3,11.38,11.49,8.38333333333334,12.0,1991-03-01
4,10.98,11.36,7.49333333333333,11.55,1991-04-01
5,10.75,10.72,6.72,10.98,1991-05-01
6,11.17,10.39,5.77,10.5,1991-06-01
7,10.99,10.34,5.88,10.5,1991-07-01
8,10.67,10.13,5.69333333333333,10.5,1991-08-01
9,10.31,9.58,5.21333333333333,9.55,1991-09-01
10,9.82,8.97,4.89666666666667,9.5,1991-10-01
11,9.78,8.34,4.80333333333333,8.64,1991-11-01
12,9.39,7.84,4.83,8.5,1991-12-01
13,10.11,7.45,4.96333333333333,7.69,1992-01-01
14,10.04,7.52,5.64666666666666,7.5,1992-02-01
15,9.89,7.51,7.18666666666667,7.5,1992-03-01
16,9.43,7.18,8.19333333333333,7.5,1992-04-01
17,9.12,6.56,7.71333333333333,6.64,1992-05-01
18,8.9,6.42,7.54333333333333,6.5,1992-06-01
19,8.3,5.64,7.45333333333333,5.91,1992-07-01
20,8.97,5.73,7.48666666666667,5.75,1992-08-01
21,8.94,5.94,7.56333333333333,5.75,1992-09-01
22,8.86,5.86,7.13,5.75,1992-10-01
23,9.14,5.88,6.42666666666667,5.75,1992-11-01
24,8.94,5.9,5.92666666666667,5.75,1992-12-01
25,8.6,5.88,5.75333333333333,5.75,1993-01-01
26,7.98,5.82,4.95333333333333,5.75,1993-02-01
27,7.82,5.38,4.95,5.6,1993-03-01
28,7.55,5.27,4.97333333333333,5.25,1993-04-01
29,7.71,5.15,5.06666666666667,5.25,1993-05-01
30,7.37,5.22,5.13,5.25,1993-06-01
31,6.88,5.05,4.83666666666667,5.23,1993-07-01
32,6.64,4.78,4.79,4.75,1993-08-01
33,6.84,4.86,4.85,4.75,1993-09-01
34,6.49,4.81,4.94,4.75,1993-10-01
35,6.81,4.78,5.46666666666667,4.75,1993-11-01
36,6.68,4.82,5.78333333333333,4.75,1993-12-01
37,6.36,4.81,6.19333333333333,4.75,1994-01-01
38,7.05,4.8,6.42,4.75,1994-02-01
39,7.95,4.88,6.31333333333333,4.75,1994-03-01
40,8.44,4.92,5.54666666666667,4.75,1994-04-01
41,8.79,4.85,4.90666666666667,4.75,1994-05-01
42,9.63,5.12,4.84666666666667,4.75,1994-06-01
43,9.57,5.41,4.29666666666667,4.75,1994-07-01
44,9.36,5.6,4.34333333333333,5.11,1994-08-01
45,10.33,5.93,4.83333333333333,5.5,1994-09-01
46,10.51,6.45,4.95333333333333,5.79,1994-10-01
47,10.47,7.16,4.85666666666667,6.5,1994-11-01
48,10.04,7.95,4.77,7.05,1994-12-01
49,10.3345,8.37,4.74666666666667,7.5,1995-01-01
50,10.1465,8.08,4.81666666666667,7.5,1995-02-01
51,10.13782609,8.13,5.25,7.5,1995-03-01
52,9.798823529,7.89,5.54333333333333,7.5,1995-04-01
53,9.106086957,7.7,5.51333333333333,7.5,1995-05-01
54,8.856190476,7.55,5.44,7.5,1995-06-01
55,9.081904762,7.56,5.41666666666667,7.5,1995-07-01
56,9.124347826000001,7.58,5.62,7.5,1995-08-01
57,8.686190476,7.49,5.69666666666667,7.5,1995-09-01
58,8.508636364,7.47,5.63,7.5,1995-10-01
