,10y,short_term_tb,3m_ib,24_cb_rate,date
0,6.2714285714285705,2.86,3.265238095,3.25,1997-06-01
1,5.96318181818182,3.32,3.531818182,3.5,1997-07-01
2,5.9945,3.13,3.638,3.5,1997-08-01
3,5.87619047619048,3.1,3.626666667,3.5,1997-09-01
4,5.60909090909091,3.63,3.799545455,3.75,1997-10-01
5,5.503157894736839,3.57,3.994736842,4.0,1997-11-01
6,5.66571428571429,4.46,4.5671428569999994,4.5,1997-12-01
7,5.360476190476191,4.183,4.651904762,4.5,1998-01-01
8,5.434,4.571,4.9775,5.0,1998-02-01
9,5.4272727272727295,4.565,4.8740909089999995,5.0,1998-03-01
10,5.31238095238095,4.825,4.898095238,5.0,1998-04-01
11,5.3870000000000005,4.75,5.02,5.0,1998-05-01
12,5.31863636363636,4.882,5.016818182,5.0,1998-06-01
13,5.347727272727269,4.926,5.0513636360000005,5.0,1998-07-01
14,5.565,4.876,5.3055,5.0,1998-08-01
15,5.24666666666667,4.936,5.60047619,5.75,1998-09-01
16,4.90809523809524,4.744,5.275238095,5.5,1998-10-01
17,5.169,4.815,5.147,5.25,1998-11-01
18,4.872380952380951,4.697,5.002857143,5.25,1998-12-01
19,4.9465,4.658,5.0045,5.25,1999-01-01
20,5.124,4.835,5.0335,5.25,1999-02-01
21,5.2204347826087005,4.749,5.057391303999999,5.0,1999-03-01
22,5.02952380952381,4.601,4.716666667,5.0,1999-04-01
23,5.3595,4.42,4.6155,4.75,1999-05-01
24,5.58090909090909,4.622,4.815454545,4.75,1999-06-01
25,5.49095238095238,4.636,4.792857143,4.75,1999-07-01
26,5.75571428571429,4.834,4.924761905,4.75,1999-08-01
27,5.721428571428571,4.687,4.83047619,4.75,1999-09-01
28,6.0895,4.85,5.013999999999999,4.75,1999-10-01
29,6.0347619047619006,4.815,5.040952381,5.0,1999-11-01
30,6.14,4.93,5.135238095,5.0,1999-12-01
31,6.4915,5.076,5.025,5.0,2000-01-01
32,6.338571428571429,5.051,5.0325,5.25,2000-02-01
33,6.02826086956522,5.277,5.1080000000000005,5.5,2000-03-01
34,5.9242105263157905,5.449,5.35,5.5,2000-04-01
35,6.215,5.751,5.664,6.0,2000-05-01
36,5.89545454545455,5.551,5.5525,6.0,2000-06-01
37,5.8635,5.625,5.6,6.0,2000-07-01
38,5.76636363636364,5.622,5.617999999999999,6.0,2000-08-01
39,5.7295,5.564,5.5725,6.0,2000-09-01
40,5.72333333333333,5.619,5.5975,6.0,2000-10-01
41,5.727142857142861,5.736,5.667999999999999,6.0,2000-11-01
42,5.40210526315789,5.557,5.52,6.0,2000-12-01
43,5.41863636363636,5.142,5.236000000000001,5.75,2001-01-01
44,5.43,4.804,5.0475,5.75,2001-02-01
45,5.30136363636364,4.604,4.595,5.25,2001-03-01
46,5.5915,4.41,4.5025,5.0,2001-04-01
47,5.85136363636364,4.401,4.34,4.75,2001-05-01
48,5.71809523809524,4.242,4.26,4.75,2001-06-01
49,5.80047619047619,4.029,4.18,4.5,2001-07-01
50,5.53090909090909,3.805,3.9360000000000004,4.25,2001-08-01
51,5.30263157894737,3.039,3.3325,3.75,2001-09-01
52,5.23272727272727,2.54,2.728,3.0,2001-10-01
53,5.177142857142861,2.207,2.1525,2.5,2001-11-01
54,5.40842105263158,2.0,2.0,2.5,2001-12-01
55,5.34363636363636,1.97,1.9140000000000001,2.25,2002-01-01
56,5.321000000000001,2.07,2.015,2.25,2002-02-01
57,5.667000000000001,2.34,2.155,2.25,2002-03-01
58,5.658636363636361,2.41,2.325,2.5,2002-04-01
59,5.59590909090909,2.622,2.5140000000000002,2.5,2002-05-01
60,5.4239999999999995,2.738,2.69,2.75,2002-06-01
61,5.2904545454545495,2.849,2.782,3.0,2002-07-01
62,5.12047619047619,2.996,2.83,3.0,2002-08-01
63,4.8855,2.826,2.805,3.0,2002-09-01
64,5.1272727272727305,2.805,2.7680000000000002,3.0,2002-10-01
65,5.0895,2.734,2.7,3.0,2002-11-01
66,4.9675,2.669,2.6775,3.0,2002-12-01
67,4.961818181818179,2.813,2.716,3.0,2003-01-01
68,5.012,2.861,2.8125,3.0,2003-02-01
69,4.99714285714286,3.142,3.0375,3.25,2003-03-01
70,5.05190476190476,3.241,3.196,3.5,2003-04-01
71,4.67190476190476,3.197,3.1775,3.5,2003-05-01
72,4.28809523809524,3.127,3.0975,3.5,2003-06-01
73,4.68318181818182,2.808,2.912,3.25,2003-07-01
74,4.902,2.7,2.7775,3.25,2003-08-01
75,4.757142857142861,2.597,2.6325,3.0,2003-09-01
76,4.81545454545455,2.651,2.6180000000000003,3.0,2003-10-01
77,4.85684210526316,2.714,2.7,3.0,2003-11-01
78,4.729047619047621,2.59,2.6239999999999997,3.0,2003-12-01
79,4.58619047619048,2.26,2.3725,2.75,2004-01-01
80,4.4515,2.133,2.195,2.75,2004-02-01
81,4.260434782608701,1.99,2.0380000000000003,2.5,2004-03-01
82,4.612857142857139,1.944,1.9625,2.25,2004-04-01
83,4.773,2.018,1.97,2.25,2004-05-01
84,4.93272727272727,2.042,2.008,2.25,2004-06-01
85,4.75,2.084,2.035,2.25,2004-07-01
86,4.63095238095238,2.14,2.0625,2.25,2004-08-01
87,4.60238095238095,2.412,2.346,2.5,2004-09-01
88,4.55,2.583,2.5325,2.75,2004-10-01
89,4.4847619047619105,2.556,2.64,2.75,2004-11-01
90,4.32047619047619,2.477,2.4659999999999997,2.75,2004-12-01
91,4.2605,2.437,2.455,2.75,2005-01-01
92,4.205,2.464,2.445,2.75,2005-02-01
93,4.35818181818182,2.546,2.498,2.75,2005-03-01
94,4.19380952380952,2.461,2.47,2.75,2005-04-01
95,4.07380952380952,2.451,2.46,2.75,2005-05-01
96,3.82818181818182,2.473,2.448,2.75,2005-06-01
97,3.8995,2.581,2.555,2.75,2005-07-01
98,3.92045454545455,2.758,2.68,2.75,2005-08-01
99,3.8685714285714305,2.813,2.795,3.0,2005-09-01
100,4.047,3.025,2.98,3.25,2005-10-01
101,4.107142857142859,3.304,3.2060000000000004,3.25,2005-11-01
102,4.041,3.4,3.35,3.5,2005-12-01
103,4.0290476190476205,3.49,3.42,3.75,2006-01-01
104,4.17,3.71,3.63,3.75,2006-02-01
105,4.199565217391299,3.79,3.76,4.0,2006-03-01
106,4.41578947368421,3.97,3.96,4.25,2006-04-01
107,4.39954545454545,4.18,4.126,4.5,2006-05-01
108,4.44136363636364,4.3,4.24,4.5,2006-06-01
109,4.444,4.16,4.2,4.5,2006-07-01
110,4.25272727272727,4.13,4.132,4.5,2006-08-01
111,4.06857142857143,4.17,4.15,4.5,2006-09-01
112,4.10666666666667,4.17,4.1575,4.5,2006-10-01
113,3.99952380952381,4.18,4.178,4.5,2006-11-01
114,3.9663157894736805,4.16,4.16,4.5,2006-12-01
115,4.12181818181818,4.16,4.156000000000001,4.5,2007-01-01
116,4.1175,4.18,4.18,4.5,2007-02-01
