,10y,3m_tbil,3m_ib,24h_immed,date
0,8.75,7.66,7.66,6.0,1996-02-01
1,8.76,7.08,7.08,6.0,1996-03-01
2,8.33,6.25,6.25,5.5,1996-04-01
3,8.44,6.19,6.19,5.5,1996-05-01
4,8.34,5.79,5.79,5.5,1996-06-01
5,8.26,5.43,5.43,4.5,1996-07-01
6,8.11,5.17,5.17,4.5,1996-08-01
7,7.8,4.8,4.8,4.5,1996-09-01
8,7.19,4.61,4.61,3.5,1996-10-01
9,7.26,4.43,4.43,3.5,1996-11-01
10,6.85,3.88,3.88,3.5,1996-12-01
11,6.74,3.76,3.76,2.5,1997-01-01
12,6.68,3.93,3.93,2.5,1997-02-01
13,7.1,4.13,4.13,2.5,1997-03-01
14,7.24,4.03,4.03,2.5,1997-04-01
15,6.99,4.09,4.09,2.5,1997-05-01
16,6.77,4.05,4.05,2.5,1997-06-01
17,6.42,4.06,4.06,2.5,1997-07-01
18,6.5,4.17,4.17,2.5,1997-08-01
19,6.38,4.11,4.11,2.5,1997-09-01
20,6.22,4.23,4.23,2.5,1997-10-01
21,6.3,4.31,4.31,2.5,1997-11-01
22,6.03,4.42,4.42,2.5,1997-12-01
23,5.65,4.41,4.41,2.5,1998-01-01
24,5.53,4.33,4.33,2.5,1998-02-01
25,5.35,4.48,4.48,2.5,1998-03-01
26,5.21,4.47,4.47,2.5,1998-04-01
27,5.2,4.49,4.49,2.5,1998-05-01
28,4.97,4.2,4.2,2.5,1998-06-01
29,4.88,4.11,4.11,2.0,1998-07-01
30,4.8,4.19,4.19,2.0,1998-08-01
31,4.76,4.19,4.19,2.0,1998-09-01
32,4.72,4.17,4.17,2.0,1998-10-01
33,4.55,3.79,3.79,2.0,1998-11-01
34,4.25,3.42,3.42,2.0,1998-12-01
35,4.02,3.27,3.27,1.5,1999-01-01
36,4.18,3.14,3.14,1.5,1999-02-01
37,4.44,3.13,3.13,1.5,1999-03-01
38,4.24,2.87,2.87,1.0,1999-04-01
39,4.5,2.92,2.92,1.0,1999-05-01
40,4.87,2.97,2.97,1.0,1999-06-01
41,5.26,3.01,3.01,1.0,1999-07-01
42,5.49,3.0,3.0,1.0,1999-08-01
43,5.69,3.05,3.05,1.0,1999-09-01
44,5.92,3.23,3.23,1.5,1999-10-01
45,5.56,3.38,3.38,1.48,1999-11-01
46,5.59,3.41,3.41,1.5,1999-12-01
47,5.95,3.57,3.57,1.98,2000-01-01
48,5.9,3.9,3.9,2.0,2000-02-01
49,5.51,4.06,4.06,2.0,2000-03-01
50,5.42,3.99,3.99,2.47,2000-04-01
51,5.34,3.96,3.96,2.5,2000-05-01
52,5.13,3.94,3.94,2.5,2000-06-01
53,5.31,4.03,4.03,2.02,2000-07-01
54,5.31,4.0,4.0,2.0,2000-08-01
55,5.26,3.94,3.94,2.0,2000-09-01
56,5.23,3.99,3.99,2.0,2000-10-01
57,5.13,4.0,4.0,2.0,2000-11-01
58,4.92,4.07,4.07,2.0,2000-12-01
59,4.89,4.07,4.07,2.0,2001-01-01
60,4.86,4.1,4.1,2.0,2001-02-01
61,4.75,4.06,4.06,2.0,2001-03-01
62,4.93,3.94,3.94,1.53,2001-04-01
63,5.27,4.01,4.01,1.5,2001-05-01
64,5.38,4.17,4.17,1.5,2001-06-01
65,5.42,4.31,4.31,1.98,2001-07-01
66,5.16,4.28,4.28,2.0,2001-08-01
67,5.26,4.01,4.01,2.0,2001-09-01
68,5.17,3.7,3.7,2.0,2001-10-01
69,4.96,,,2.0,2001-11-01
70,5.24,3.71,3.71,2.0,2001-12-01
71,5.27,3.74,3.74,1.52,2002-01-01
72,5.36,3.87,3.87,1.5,2002-02-01
73,5.63,4.09,4.09,1.5,2002-03-01
74,5.69,4.25,4.25,1.98,2002-04-01
75,5.69,4.29,4.29,2.0,2002-05-01
76,5.52,4.28,4.28,2.0,2002-06-01
77,5.37,4.26,4.26,2.0,2002-07-01
78,5.13,4.19,4.19,4.5,2002-08-01
79,4.97,4.17,4.17,4.5,2002-09-01
80,5.07,4.07,4.07,4.5,2002-10-01
81,5.05,3.91,3.91,4.5,2002-11-01
82,4.89,3.67,3.67,4.5,2002-12-01
83,4.7,3.65,3.65,4.0,2003-01-01
84,4.47,3.61,3.61,4.0,2003-02-01
85,4.57,3.4,3.4,4.0,2003-03-01
86,4.72,3.42,3.42,3.6,2003-04-01
87,4.37,3.18,3.18,3.6,2003-05-01
88,4.2,2.81,2.81,3.27,2003-06-01
89,4.51,2.68,2.68,2.92,2003-07-01
90,4.7,2.71,2.71,2.85,2003-08-01
91,4.73,2.71,2.71,2.85,2003-09-01
92,4.85,2.73,2.73,2.85,2003-10-01
93,4.98,2.72,2.72,2.85,2003-11-01
94,4.86,2.7,2.7,2.85,2003-12-01
95,4.65,2.6,2.6,2.85,2004-01-01
96,4.55,2.46,2.46,2.69,2004-02-01
97,4.31,2.36,2.36,2.6,2004-03-01
98,4.55,2.02,2.02,2.2,2004-04-01
99,4.68,1.99,1.99,2.1,2004-05-01
100,4.72,1.98,1.98,2.1,2004-06-01
101,4.57,1.99,1.99,2.1,2004-07-01
102,4.42,1.99,1.99,2.1,2004-08-01
103,4.37,2.0,2.0,2.1,2004-09-01
104,4.25,1.99,1.99,2.1,2004-10-01
105,4.13,1.99,1.99,2.1,2004-11-01
106,3.9,2.0,2.0,2.1,2004-12-01
107,3.84,2.0,2.0,2.1,2005-01-01
108,3.76,1.97,1.97,2.1,2005-02-01
109,3.86,1.97,1.97,2.1,2005-03-01
110,3.58,1.99,1.99,2.1,2005-04-01
111,3.34,1.9,1.9,2.1,2005-05-01
112,3.11,1.65,1.65,1.95,2005-06-01
113,3.06,1.48,1.48,1.6,2005-07-01
114,3.14,1.48,1.48,1.6,2005-08-01
115,2.98,1.47,1.47,1.6,2005-09-01
116,3.17,1.49,1.49,1.6,2005-10-01
117,3.38,1.51,1.51,1.6,2005-11-01
118,3.37,1.69,1.69,1.6,2005-12-01
119,3.32,1.83,1.83,1.66,2006-01-01
120,3.42,1.93,1.93,1.85,2006-02-01
121,3.55,1.96,1.96,2.1,2006-03-01
122,3.84,2.05,2.05,2.1,2006-04-01
123,3.89,2.11,2.11,2.1,2006-05-01
124,3.93,2.21,2.21,2.18,2006-06-01
125,3.96,2.28,2.28,2.35,2006-07-01
126,3.84,2.43,2.43,2.35,2006-08-01
127,3.7,2.54,2.54,2.56,2006-09-01
128,3.73,2.74,2.74,2.6,2006-10-01
129,3.62,2.9,2.9,2.85,2006-11-01
130,3.65,3.0,3.0,2.93,2006-12-01
131,3.9,3.21,3.21,3.1,2007-01-01
132,3.93,3.29,3.29,3.18,2007-02-01
133,3.79,3.26,3.26,3.35,2007-03-01
134,4.04,3.34,3.34,3.35,2007-04-01
135,4.15,3.4,3.4,3.35,2007-05-01
136,4.44,3.45,3.45,3.39,2007-06-01
137,4.45,3.53,3.53,3.6,2007-07-01
138,4.25,3.58,3.58,3.6,2007-08-01
139,4.22,3.62,3.62,3.76,2007-09-01
140,4.31,3.81,3.81,3.86,2007-10-01
141,4.22,4.02,4.02,4.1,2007-11-01
142,4.31,4.12,4.12,4.1,2007-12-01
143,4.08,4.11,4.11,4.1,2008-01-01
144,4.02,4.21,4.21,4.26,2008-02-01
145,3.92,4.24,4.24,4.35,2008-03-01
146,4.06,4.14,4.14,4.35,2008-04-01
147,4.18,4.11,4.11,4.35,2008-05-01
148,4.43,4.17,4.17,4.58,2008-06-01
149,4.37,4.34,4.34,4.58,2008-07-01
150,4.11,4.4,4.4,4.6,2008-08-01
151,3.9,4.49,4.49,4.82,2008-09-01
152,3.57,3.63,3.63,4.5,2008-10-01
153,3.34,3.2,3.2,3.85,2008-11-01
154,2.67,1.82,1.82,2.78,2008-12-01
155,2.8,1.35,1.35,2.1,2009-01-01
156,2.93,0.85,0.85,1.7,2009-02-01
157,2.94,0.4,0.4,1.1,2009-03-01
